Michele Padovano
Rocco Pagano
Raffaele Palladino
Karl-Erik Palmér
Martin Palumbo
Mario Paniati
Rocco Panio
Michele Paolucci
Michele Paramatti
Leandro Paredes
Matteo Paro
Carlo Parola
Luigi Pasetti
Rubens Pasino
Giovanni Pasquale
Cristian Pasquato
Piero Pastore
Giuseppe Patrucco
Enrico Patti
Enrico Paulucci
Antonio Payer
Carlo Payer
Michele Pazienza
Fabio Pecchia
Alex Pederzoli
César Pellegrín
Luca Pellegrini
Federico Peluso
Umberto Pennano
Nicolas Penner
Domenico Penzo
Simone Pepe
Giacomo Perego
Rubén Pereira
Matheus Pereira
Roberto Pereyra
Vincent Péricard
Mattia Perin
Simone Perrotta
Giuseppe Peruchetti
Angelo Peruzzi
Gianluca Pessotto
Alberto Piccinini
Felice Piccolo
Giuseppe Pillon
Massimo Piloni
Gabriele Pin
Livio Pin
Umberto Pinardi
Carlo Pinsoglio
Kaio Jorge
Silvio Piola
Stefano Pioli
Lamberto Piovanelli
Andrea Pirlo
Luigi Pirovano
Marko Pjaca
Miralem Pjanić
Michel Platini
David Platt
Johannes Pløger
Pietro Poccardi
Paul Pogba
Gilberto Pogliano
Sergio Porrini
Manolo Portanova
Luigi Portigliatti
Christian Poulsen
Karl Aage Præst
Cesare Prandelli
Gastone Prendato
Pietro Princlari
Mattia Proietti
Fabio Quagliarella
Adrien Rabiot
Ercole Rabitti
Gino Raffin
Hamza Rafia
Ammar Ramadan
Luciano Ramella
Michelangelo Rampulla
Aaron Ramsey
Ugo Rasetto
Pietro Rava
Fabrizio Ravanelli
Paolo Ravano
Stefan Reuter
Ettore Reynaudi
Eduardo Ricagni
Alessandro Pio Riccio
Francesco Rier
Marco Rigoni
Leandro Rinaudo
Tomás Rincón
Elio Rinero
Roberto Jiménez Gago
Enzo Robotti
Luciano Robotti
Rogério Oliveira da Silva
Ugo Rolandi
Orano Rolfo
Filippo Romagna
Giovanni Romano
Giuseppe Romano
Rômulo
Enzo Rosa
Humberto Rosa
Lucas Rosa
Massimiliano Rosa
Michele Rosa
Virginio Rosetta
Giorgio Rossano
Lorenzo Rosseti
Andrea Rossi
Fausto Rossi
Gianni Rossi
Guerrino Rossi
Paolo Rossi
Pietro Rossi
Jonas Rouhi
Nicolò Rovella
Gianluigi Roveta
Paolo Rozzio
Rubinho
Hugo Rubini
Daniele Rugani
Ian Rush
Giovanni Sacco
Vajebah Sakor
Marcelo Salas
Hasan Salihamidžić
Sandro Salvadore
Renato Sanero
Michele Santacroce
Duilio Santagostino
Enrico Santià
Edwin van der Sar
Benito Sarti
Giuliano Sarti
Luigi Sartor
Piergiorgio Sartore
Romolo Sartoris
Răzvan Sava
Gordon Thomas Savage
Savinho
Gianluigi Savoldi
Nicolò Savona
Cinzio Scagliotti
Ermanno Scaramuzzi
Francesco Scardina
Andrea Schiavone
Salvatore Schillaci
Maurizio Schincaglia
Gaetano Scirea
Ezio Sclavi
Giuseppe Sculli
Kaly Sène
Vittorio Sentimenti
Lucidio Sentimenti
Pietro Serantoni
Aldo Serena
Michele Serena
Plinio Serena
Cesare Sereno
Pedro Sernagiotto
Cesare Sesia
Yoan Severin
Pietro Sforzin
Bruno Siciliano
Luigi Simoni
Mohamed Sissoko
Omar Sívori
Vykintas Slivka
Douglas Luiz
Pierino Sodano
Roberto Soldà
Frederik Sørensen
Juan Pablo Sorín
Alexander Sørloth
Vincenzo Soro
Matías Soulé
Paulo Sousa
Alfredo Spadavecchia
Leonardo Spinazzola
Luciano Spinosi
James Squair
Lorenzo Squizzi
Gino Stacchini
Eugenio Staccione
Guglielmo Stendardo
Giorgio Stivanello
Marco Storari
Massimo Storgato
Walter Streule
Stefano Sturaro
Wojciech Szczęsny
Pietro Tabor
Alessio Tacchinardi
Stefano Tacconi
Francesco Tahiraj
Corrado Tamietti
Roberto Tancredi
Marco Tardelli
Roberto Tavola
Dimas Teixeira
Andrés Tello
Valerio Terzi
Ignazio Testa
Carlos Tévez
Mame Thiam
Khéphren Thuram
Lilian Thuram
Alberto Tiberti
Ernesto Tomasi
Stevan Tommei
Franco Tongya
Luca Toni
Giuseppe Torriani
Moreno Torricelli
Francesco Tortarolo
Armand Traoré
Vincenzo Traspedini
Alfredo Travia
David Trezeguet
Roberto Tricella
Alessandro Tripaldelli
James Troisi
Christian Trombini
Ivano Trotta
Giuseppe Trotter
Igor Tudor
Giorgio Turchi
Giorgio Turin
Joel Untersee
Giovanni Urban
Orlando Urbano
Guido Vadalá
Juan Vairo
Cesare Valinasso
Mario Valobra
Francesco Varalda
Rinaldo Varalda
Carlo Vittorio Varetti
Giovanni Varglien
Mario Varglien
Franco Varrella
Sebastiano Vaschetto
Giuseppe Vavassori
Giovanni Vecchina
Renato Veiga
Eugenio Venditti
Dario Venitucci
Mario Ventimiglia
Vinicio Verza
Gianluca Vialli
Amaro Viana Barbosa
Giuseppe Viani
Guglielmo Vicario
Oscar Vicich
Arturo Vidal
Patrick Vieira
Pietro Vierchowod
Roberto Vieri
Christian Vieri
Massimiliano Vieri
Paolo Viganò
Paolo Vigna
Beniamino Vignola
Giovanni Vigo
Lino Villa
Fernando Viola
Giovanni Viola
József Viola
Pietro Paolo Virdis
Mattia Vitale
Pasquale Vivolo
Dušan Vlahović
Alessandro Vogliacco
Antonio Vojak
Oliviero Vojak
Aldo Vollono
Rey Volpato
Francesco Volpe
Carlo Volpi
Giuseppe Volta
Romano Voltolina
Alessandro Von Mayer
Giacomo Vrioni
Mirko Vučinić
Čestmír Vycpálek
Paul Arnold Walty
Denny Wang
Timothy Weah
Ludwig Weber
Wesley Gasolina
Kenan Yıldız
Alessandro Zagano
Denis Zakaria
Marcelo Zalayeta
Marco Zamboni
Gianluca Zambrotta
Pietro Zammuto
Marco Zanchi
Flaviano Zandoli
Cristiano Zanetti
Giuseppe Zaniboni
Luca Zanimacchia
Nicola Zanini
Giovanni Zanni
Nicola Zanone
Oleksandr Zavarov
Simone Zaza
Jonathan Zebina
Cristian Zenoni
Andi Zeqiri
Ilyos Zeytullayev
Edon Zhegrova
Zinédine Zidane
Reto Ziegler
Gianfranco Zigoni
Dino Zoff
Enea Zuffi
