Alfredo Mazzoni
Lido Mazzoni
Ibrahima Mbaye
Giuseppe Meazza
Gary Medel
Sandro Medolago
Riccardo Meggiorini
Andrea Mei
Felipe Melo
Ezio Meneghello
Francesco Meregalli
Mario Mereghetti
Claudio Merlo
Gino Merlo
Attilio Mestroni
Giuseppe Mettica
Andy van der Meyde
Luca Mezzano
Senna Miangue
Pietro Miglio
Renato Miglioli
Giovanni Migliorini
Siniša Mihajlović
Marcello Mihalich
Mauro Milanese
Andrea Milani
Aurelio Milani
Alessandro Milesi
Diego Milito
Mario Miltone
Giuseppe Minaudo
Ferdinando Miniussi
João Miranda
Nemanja Mitrovič
Marco Modolo
Gaetano Monachello
Emilio Monaldi
Luca Mondini
Giuseppe Monetti
Marcello Montanari
Marco Monti
Sergio Montipò
Martín Montoya
Aldo Monza
Egidio Morbello
Dario Morello
Emilio Moretti
Mario Moretti
Tullio Moretti
Domenico Morfeo
Francesco Moriero
Sergio Morin
Giorgio Morini
Giuseppe Morosi
Leonardo Morosini
Victor Moses
Iride Motta
Thiago Motta
Roberto Mozzini
Cosimo Muci
Gaby Mudingayi
Hansi Müller
Heini Müller
Sulley Muntari
Carlo Muraro
Jeison Murillo
Ettore Mussi
Bortolo Mutti
Tiziano Mutti
Adrian Mutu
Henrix Mxit'aryan
Yūto Nagatomo
Radja Nainggolan
Aiman Napoli
Archimede Nardi
Hugo Natteri
Valeriano Nchama
Giuseppe Negretti
Eugenio Negri
Rodolfo Negri
Giacomo Neri
Maino Neri
Fulvio Nesti
Aldo Nicoli
Harald Nielsen
Salvatore Antonio Nobile
Natale Nobili
Carmine Nunziata
István Nyers
Joel Obi
Victor Obinna
Nwankwo Obiora
Leonardo Occhipinti
Jens Odgaard
Giorgio Odling
Okan Buruk
Davide Olivares
Guido Olivares
Wallace Oliveira dos Santos
Renato Olmi
Patrick Olsen
André Onana
Gabriele Oriali
Gaetano Oristanio
Pierluigi Orlandini
Angelo Orlando
Paolo Orlandoni
Daniel Osvaldo
Antonio Pacheco
Pasquale Padalino
Daniele Padelli
Bruno Padulazzi
Marcelo Pagani
Antonio Paganin
Massimo Paganin
Gianluca Pagliuca
Rodrigo Palacio
Tomás Palacios
Andrea Palazzi
Angelo Palombo
Darko Pančev
